Architecture day:;28/08/2015;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;;;;
;;HT;;;;;;;;;;;;;;;;;;;
;HT;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;
F;C;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;
;F;C;;;;;;;;;;;;;;;1 lobe;;;;
;;F;s;;;;;;;;;;;;;;;;;;
;;F;s;;;;;;;;;;;;;;;;;;
;;F;C;;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;BT;;;;;;;;;;;;;;;5;3;8;
;;HT;;;;;;;;;;;;;;;;9;0;9;
;HT;;;;;;;;;;;;;;;;;11;1;12;
F;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;;;;
F;C;;;;;;;;;;;;;;;;;;;;
;F;C;;;;;;;;;;;;;;;;;;;
;;F;C;;;;;;;;;;;;;;;;;;
;;;F;;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;F;s;;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;;;;;;;
;;F;C;;;;;;;;;;;;;;;7;2;9;
;;;F;C;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;;
;;;F;C;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;1;0;1;reste hampe
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;F;;;;;;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;;;;2 lobes;;;;
;HT;;;;;;;;;;;;;;;;;;;;
HT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;5;2;7;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;8;0;8;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;6,5;4,4;6,3;4,4;54,05;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;1;0;1;reste hampe
;;;;;;;;;;;;;;;;;;7;3;10;
;;;;;;;;;;;;;;;;;;20;2;22;
