Architecture day:;30/07/2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;;
F;C;;;;;;;;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;C;;;;-;-;;;;;;;;;;;;
;;;F;;;;62,67;79,69;;;;;;2 lobes;;;;;;
;;;F;C;;;84,33;112,29;;;;;;;;;;;;
;;;;F;;;150,38;127,08;;;;;;;;;;;;
;;;;F;s;;129,29;111,69;;;;;;1 lo be coupé;;;;;;
;;;;F;s;;112,76;98,17;;;;;;2 lobes;;;;;;
;;;;F;C;;88,64;81,02;;;;;;2 lobes;;;;;;
;;;;;F;s;108,2;110,79;;;;;;;;;;;;
;;;;;F;s;114,35;126,57;;;;;;;;;;;;
;;;;;F;s;105,15;116,2;;;;;;;;;;;;
;;;;;F;s;109,19;135,19;;;;;;;;;;;;
;;;;;F;s;92,38;100,41;;;;;;;;;;;;
;;;;;F;s;23,14;55,71;;;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;6;1;7;;;
;;;HT;;;;;;;;;;;;6;1;7;;;
;;HT;;;;;;;;;;;;;8;0;8;;;
;HT;;;;;;;;;;;;;;11;1;12;;;
F;;;;;;;;;;;;;;;;;;;;
F;C;;;;;;;;;;;;;;;;;;;
;F;;;;;;-;-;;;;;;;;;;;;
;F;C;;;;;-;-;;;;;;;;;;;;
;;F;;;;;89,22;102,07;;;;;;;;;;;;
;;F;C;;;;-;-;;;;;;;;;;;;
;;;F;;;;-;-;;;;;;;;;;;;
;;;F;;;;114,26;127,43;;;;;;;;;;;;
;;;F;C;;;157,22;128,86;;;;;;;;;;;;
;;;;F;s;;83,39;78,82;;;;;;2 lobes;;;;;;
;;;;F;C;;134,3;125,84;;;;;;;;;;;;
;;;;;F;s;49,77;66,54;;;;;;2 lobes;;;;;;
;;;;;F;s;103,89;111,19;;;;;;;;;;;;
;;;;;F;s;101,98;106,09;;;;;;;;;;;;
;;;;;F;s;111,25;111,09;;;;;;;;;;;;
;;;;;F;s;75,8;97,78;;;;;;;;;;;;
;;;;;F;s;32,33;70,69;;;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;6;0;6;;;
;;;HT;;;;;;;;;;;;7;0;7;;;
;;HT;;;;;;;;;;;;;6;1;7;;;
;HT;;;;;;;;;;;;;;5;0;5;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;;;;;;;-;-;;;;;;;;;;;;
F;C;;;;;;52,7;76,89;;;;;;;;;;;;
;F;;;;;;-;;;;;;;;;;;;;
;F;;;;;;22,95;34,94;;;;;;1 lobes;;;;;;
;F;C;;;;;70,47;97,1;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;;;;;-;-;;;;;;;;;;;;
;;F;;;;;43,74;67,84;;;;;;2 lobes;;;;;;
;;F;;;;;110,38;104,85;;;;;;;;;;;;
;;F;C;;;;163,24;120,32;;;;;;;;;;;;
;;;F;s;;;70,27;72,92;;;;;;2 lobes;;;;;;
;;;F;C;;;129,87;126,55;;;;;;;;;;;;
;;;;F;s;;55,29;72,48;;;;;;2lobes;;;;;;
;;;;F;s;;96,55;117,59;;;;;;;;;;;;
;;;;F;s;;92,91;102,84;;;;;;;;;;;;
;;;;F;s;;87,73;105,39;8;5,5;7,5;5,7;86,184;;;;;;;
;;;;F;s;;34,9;69,71;;;;;;;;;;;;
;;;;BT;;;;;;;;;;;;;;;;
;;;HT;;;;;;;;;;;;6;0;6;;;
;;HT;;;;;;;;;;;;;5;0;5;;;
;HT;;;;;;;;;;;;;;7;0;7;;;
HT;;;;;;;;;;;;;;;12;1;13;;;
