Architecture day:;31/07/2015;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;Axis_8;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.
F;;;;;;;;-;-;;;;;;;;;;
F;C;;;;;;;-;-;;;;;;;;;;
;F;;;;;;;-;-;;;;;;;;;;
;F;;;;;;;-;-;;;;;;;;;;
;F;C;;;;;;-;-;;;;;;;;;;
;;F;;;;;;-;-;;;;;;;;;;
;;F;C;;;;;-;-;;;;;;;;;;
;;;F;C;;;;-;-;;;;;;;;;;
;;;;F;;;;92,36;79,64;;;;;;2 lobes;;;;
;;;;F;C;;;137,28;149,71;;;;;;;;;;
;;;;;F;s;;42,27;67,98;;;;;;;;;;
;;;;;F;s;;89,3;79,1;;;;;;2 lobes;;;;
;;;;;F;s;;96,66;99,68;;;;;;;;;;
;;;;;F;s;;122,49;104,11;;;;;;;;;;
;;;;;F;s;;93,47;90,54;;;;;;;;;;
;;;;;F;s;;96,05;96,51;;;;;;;;;;
;;;;;F;s;;81,19;95,06;;;;;;;;;;
;;;;;F;s;;18,76;46,93;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;;7;0;7;
;;;HT;;;;;;;;;;;;;5;0;5;
;;HT;;;;;;;;;;;;;;4;0;4;
;HT;;;;;;;;;;;;;;;5;1;6;
F;C;;;;;;;-;-;;;;;;;;;;
;F;C;;;;;;-;-;;;;;;;;;;
;;F;;;;;;-;-;;;;;;;;;;
;;F;C;;;;;-;-;;;;;;;;;;
;;;F;s;;;;-;;;;;;;;;;;
;;;F;s;;;;-;;;;;;;;;;;
;;;F;s;;;;33,85;58,66;;;;;;;;;;
;;;BT;;;;;;;;;;;;;;;;
;;F;;;;;;117,39;118,31;;;;;;;;;;
;;F;C;;;;;170,38;143,03;;;;;;;;;;
;;;F;s;;;;123,72;111,66;;;;;;;;;;
;;;F;s;;;;92,89;102,63;;;;;;;;;;
;;;F;s;;;;117,62;103,02;;;;;;;;;;
;;;F;s;;;;108,82;100,94;;;;;;;;;;
;;;F;s;;;;74,8;84,86;;;;;;;;;;
;;;F;s;;;;21,26;47,34;;;;;;;;;;
;;;BT;;;;;;;;;;;;;;;;
;;HT;;;;;;;;;;;;;;8;0;8;
;F;C;;;;;;-;-;;;;;;;;;;
;;F;;;;;;172,48;128,6;;;;;;;;;;
;;F;C;;;;;226,29;157,27;;;;;;;;;;
;;;F;;;;;142,52;133,43;;;;;;;;;;
;;;F;C;;;;199,94;145,74;;;;;;;;;;
;;;;F;;;;161,25;128,57;;;;;;;;;;
;;;;F;C;;;116,92;110,4;;;;;;;;;;
;;;;;F;s;;76,59;79,7;;;;;;;;;;
;;;;;F;s;;107,49;100,75;;;;;;;;;;
;;;;;F;s;;30,74;53,66;;;;;;;;;;
;;;;;F;s;;-;-;4,7;3,5;4,3;2,7;23,98;;;;;
;;;;;BT;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;;4;1;5;
;;;HT;;;;;;;;;;;;;4;1;5;
;;HT;;;;;;;;;;;;;;5;0;5;
F;HT;;;;;;;;;;;;;;;5;0;5;
HT;;;;;;;;;;;;;;;;13;0;13;
