Architecture day:;31/07/2015;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;Axis_8;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.
F;;;;;;;;-;-;;;;;;;;;;
F;;;;;;;;-;-;;;;;;;;;;
F;;;;;;;;-;-;;;;;;;;;;
F;;;;;;;;-;-;;;;;;;;;;
F;C;;;;;;;-;-;;;;;;;;;;
;F;;;;;;;-;-;;;;;;;;;;
;F;;;;;;;-;-;;;;;;;;;;
;F;C;;;;;;71,08;53,87;;;;;;1 lobe coupé;;;;
;;F;C;;;;;75,93;90,69;;;;;;;;;;
;;;F;;;;;49,2;71,31;;;;;;;;;;
;;;F;C;;;;80,22;91,8;;;;;;;;;;
;;;;F;;;;39,04;60,84;;;;;;;;;;
;;;;F;C;;;41,6;65,49;;;;;;;;;;
;;;;;F;s;;11,4;35,26;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;;0;2;2;
;;;HT;;;;;;;;;;;;;1;0;1;
;;HT;;;;;;;;;;;;;;2;0;2;
;HT;;;;;;;;;;;;;;;6;1;7;
F;;;;;;;;-;-;;;;;;;;;;
F;;;;;;;;-;-;;;;;;;;;;
F;;;;;;;;-;-;;;;;;;;;;
F;C;;;;;;;-;-;;;;;;;;;;
;F;;;;;;;-;-;;;;;;;;;;
;F;C;;;;;;-;-;;;;;;;;;;
;;F;;;;;;-;-;;;;;;;;;;
;;F;C;;;;;-;-;;;;;;;;;;
;;;F;;;;;-;-;;;;;;;;;;
;;;F;C;;;;89,91;102;;;;;;;;;;
;;;;F;;;;96,95;106,65;;;;;;;;;;
;;;;F;C;;;58,68;83,31;;;;;;;;;;
;;;;;F;;;39,34;62,54;;;;;;;;;;
;;;;;F;s;;57,24;78,96;;;;;;;;;;
;;;;;F;s;;29,4;60,06;;;;;;;;;;
;;;;;F;s;;-;-;;;;;;;;;;
;;;;;BT;;;;;;;;;;;;;;
;;;;HT;;;;;;;;;;;;3;0;3;
;;;HT;;;;;;;;;;;;;4;1;5;
;;HT;;;;;;;;;;;;;;1;0;1;
;HT;;;;;;;;;;;;;;;6;0;6;
<<<<<<< .mine
HT;;;;;;;;;;;;;;;;11;1;12;
||||||| .r5740
Ht;;;;;;;;;;;;;;;;11;1;12;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
=======
HT;;;;;;;;;;;;;;;;11;1;12;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
>>>>>>> .r5741
