Architecture day:;04/08/2015;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Legends:;F: leaf;;;lobe_C_H: height of central lob;;;;;;;;;;;;;;;;
;C: crown;;;Lobe_C_L: width of central lob;;;;;;;;;;;;;;;;
;BT: Terminal buds;;;lobe_G_H: height of left lob;;;;;;;;;;;;;;;;
;GB: Big buds;;;Lobe_G_L: width of left lob;;;;;;;;;;;;;;;;
;HT: Terminal inflorescence;;;Leaf_area_algo: leaf area calculate with algorithm;;;;;;;;;;;;;;;;
;;;;Com.: Commentary;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Architecture;;;;;;;;Leaf_notation;;;;;;;;Yield_notation;;;;
Axis_1;Axis_2;Axe_3;Axis_4;Axis_5;Axis_6;Axis_7;Axis_8;leaf_area;leaf_perimeter;Lobe_C_H;Lobe_C_L;Lobe_G_H;Lobe_G_L;Leaf_area_algo;Com.;harvest_fruit;fruit_aborded;Total_ruit;com.;
;F;;;;;;;94,99;79,41;;;;;;;-;-;-;-;
;F;;;;;;;139,44;112,72;;;;;;;-;-;-;-;
;F;C;;;;;;80,72;61,43;;;;;;;-;-;-;-;
;;F;C;;;;;170,87;120,23;;;;;;;-;-;-;-;
;;;F;s;;;;72,34;77,08;;;;;;;-;-;-;-;
;;;F;s;;;;142,36;113,48;;;;;;;-;-;-;-;
;;;F;s;;;;106;100,97;;;;;;;-;-;-;-;
;;;F;s;;;;74,91;94,07;;;;;;;-;-;-;-;
;;;BT;;;;;;;;;;;;;-;-;-;-;
;;HT;;;;;;;;;;;;;;8;0;8;-;
;;C;;;;;;;;;;;;;;-;-;-;-;
;;F;C;;;;;137,41;95,85;;;;;;;-;-;-;-;
;;;F;GB;;;;185,89;122,83;;;;;;;-;-;-;-;
;;;F;s;;;;164,01;116,95;;;;;;;-;-;-;-;
;;;F;s;;;;126,54;104,44;;;;;;;-;-;-;-;
;;;F;s;;;;82,86;93,38;;;;;;;-;-;-;-;
;;;F;s;;;;57,79;78,52;;;;;;6,5;-;-;-;-;
;;;BT;;;;;;;;;;;;;-;-;-;-;
;;HT;;;;;;;;;;;;;;1;0;1;reste hampe;
;HT;;;;;;;;;;;;;;;7;3;10;-;
HT;;;;;;;;;;;;;;;;20;2;22;-;
